2026-08-07T16:07:37.628069450Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (2000 max tokens) [tiered]
2026-08-07T16:07:37.628073200Z [err]  [AIClient] no x-product-tier header on a tiered-routing-eligible request — falling back to free. If this account should be paid, check the Edge/middleware log stream (separate from this one) for '[middleware] tier resolution failed'.
2026-08-07T16:07:37.628075890Z [inf]  [StructuralMatch] Ontology not complete for session 5b63b9fb-4472-47f4-abd3-f08a1b57b9ac — client should retry
2026-08-07T16:07:37.628078640Z [inf]  [Ontology] Session 5b63b9fb-4472-47f4-abd3-f08a1b57b9ac | type: allocation | mode: OPEN | rules: none | flags: none | identity: 2 | regret: 3 | upstream: 1
2026-08-07T16:07:37.628081720Z [inf]  [StructuralMatch] No user identity on session 5b63b9fb-4472-47f4-abd3-f08a1b57b9ac — skipping past session retrieval
2026-08-07T16:07:40.084490856Z [inf]  [StructuralMatch] No user identity on session 5b63b9fb-4472-47f4-abd3-f08a1b57b9ac — skipping past session retrieval
2026-08-07T16:07:41.119909276Z [inf]  [ExaminerMetric] session=5b63b9fb-4472-47f4-abd3-f08a1b57b9ac mode=OPEN
2026-08-07T16:07:41.119916266Z [err]  [AIClient] no x-product-tier header on a tiered-routing-eligible request — falling back to free. If this account should be paid, check the Edge/middleware log stream (separate from this one) for '[middleware] tier resolution failed'.
2026-08-07T16:07:41.119920985Z [err]  [AIClient] no x-product-tier header on a tiered-routing-eligible request — falling back to free. If this account should be paid, check the Edge/middleware log stream (separate from this one) for '[middleware] tier resolution failed'.
2026-08-07T16:07:41.119924145Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (80 max tokens) [tiered]
2026-08-07T16:07:41.119927985Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (80 max tokens) [tiered]
2026-08-07T16:07:42.964309013Z [inf]  [Examiner GET] SB-2 v2.0 | session 5b63b9fb-4472-47f4-abd3-f08a1b57b9ac | mode: OPEN | questions: E0,C0 | s0: false (44w) | profile: false | fears: false
2026-08-07T16:08:22.925107476Z [inf]  [Examiner POST] Independence score triggered for session 5b63b9fb-4472-47f4-abd3-f08a1b57b9ac
2026-08-07T16:08:22.925112886Z [inf]  [Examiner POST] Contradictions triggered for session 5b63b9fb-4472-47f4-abd3-f08a1b57b9ac
2026-08-07T16:08:22.925116786Z [inf]  [BiasScore] Scoring session 5b63b9fb-4472-47f4-abd3-f08a1b57b9ac (identity: anonymous)
2026-08-07T16:08:22.925120326Z [inf]  [BiasScore] 0 user pushback message(s) for session 5b63b9fb-4472-47f4-abd3-f08a1b57b9ac
2026-08-07T16:08:22.925124676Z [inf]  [BiasScore] Scoring from decision_text only for session 5b63b9fb-4472-47f4-abd3-f08a1b57b9ac — no examiner or pushback data yet
2026-08-07T16:08:22.925128416Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (4000 max tokens) [tiered]
2026-08-07T16:08:22.925131446Z [err]  [AIClient] no x-product-tier header on a tiered-routing-eligible request — falling back to free. If this account should be paid, check the Edge/middleware log stream (separate from this one) for '[middleware] tier resolution failed'.
2026-08-07T16:08:27.101195143Z [err]  [AIClient] no x-product-tier header on a tiered-routing-eligible request — falling back to free. If this account should be paid, check the Edge/middleware log stream (separate from this one) for '[middleware] tier resolution failed'.
2026-08-07T16:08:27.101197953Z [inf]  [Persona] Mistral-family prompt extension applied for pattern_analyst | session 5b63b9fb-4472-47f4-abd3-f08a1b57b9ac
2026-08-07T16:08:27.101201093Z [inf]  [Persona] Council context injected for pattern_analyst (initial) | session 5b63b9fb-4472-47f4-abd3-f08a1b57b9ac
2026-08-07T16:08:27.101204003Z [inf]  [AIClient] createStream → mistral-cloud (mistral-small-latest) (2200 max tokens) [tiered]
2026-08-07T16:08:27.101207403Z [err]  [AIClient] no x-product-tier header on a tiered-routing-eligible request — falling back to free. If this account should be paid, check the Edge/middleware log stream (separate from this one) for '[middleware] tier resolution failed'.
2026-08-07T16:08:27.101209883Z [err]  [AIClient] no x-product-tier header on a tiered-routing-eligible request — falling back to free. If this account should be paid, check the Edge/middleware log stream (separate from this one) for '[middleware] tier resolution failed'.
2026-08-07T16:08:27.101213113Z [inf]  [Persona] Mistral-family prompt extension applied for contrarian | session 5b63b9fb-4472-47f4-abd3-f08a1b57b9ac
