2026-08-08T15:13:39.831603900Z [inf]  Starting Container
2026-08-08T15:13:39.864368550Z [inf]     ▲ Next.js 15.2.8
2026-08-08T15:13:39.864374400Z [inf]     - Local:        http://localhost:8080
2026-08-08T15:13:39.864379040Z [inf]     - Network:      http://0.0.0.0:8080
2026-08-08T15:13:39.864382180Z [inf]  
2026-08-08T15:13:39.864384880Z [inf]   ✓ Starting...
2026-08-08T15:13:39.864388200Z [inf]   ✓ Ready in 46ms
2026-08-08T15:13:46.283004633Z [inf]  [Persona] Council weighting directive injected for synthesis | session a8bad116-2532-4282-840d-6a1819b6d69d
2026-08-08T15:13:46.540505461Z [inf]  [Persona] Since-last-version context injected for synthesis | 1 lean flip(s), 1 weight mover(s) | session a8bad116-2532-4282-840d-6a1819b6d69d
2026-08-08T15:13:47.073198440Z [inf]  [Persona] Mistral-family prompt extension applied for synthesis | session a8bad116-2532-4282-840d-6a1819b6d69d
2026-08-08T15:13:47.073204320Z [inf]  [Persona] Council context injected for synthesis (synthesis) | session a8bad116-2532-4282-840d-6a1819b6d69d
2026-08-08T15:13:47.073207610Z [inf]  [AIClient] createStream → mistral-cloud (mistral-small-latest) (3200 max tokens) [tiered]
2026-08-08T15:13:47.082581033Z [err]  (node:1) [DEP0169] DeprecationWarning: `url.parse()` behavior is not standardized and prone to errors that have security implications. Use the WHATWG URL API instead. CVEs are not issued for `url.parse()` vulnerabilities.
2026-08-08T15:13:47.082585523Z [err]  (Use `node --trace-deprecation ...` to show where the warning was created)
2026-08-08T15:13:50.622838707Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (150 max tokens) [tiered]
2026-08-08T15:13:50.622924725Z [err]  [SynthesisAudit] session=a8bad116-2532-4282-840d-6a1819b6d69d missing mandatory tag(s): tension, action_plan | stop_reason=stop
2026-08-08T15:13:51.189330331Z [inf]  [Persona] Council weighting directive injected for synthesis | session a8bad116-2532-4282-840d-6a1819b6d69d
2026-08-08T15:13:51.510790660Z [inf]  [Persona] Since-last-version context injected for synthesis | 1 lean flip(s), 1 weight mover(s) | session a8bad116-2532-4282-840d-6a1819b6d69d
2026-08-08T15:13:51.646576211Z [err]  [SynthesisAudit] session=a8bad116-2532-4282-840d-6a1819b6d69d tension backfill call failed: TypeError: Invalid state: Controller is already closed
2026-08-08T15:13:51.646581411Z [err]      at Object.start (.next/server/app/api/persona/route.js:151:17) {
2026-08-08T15:13:51.646585141Z [err]    code: 'ERR_INVALID_STATE'
2026-08-08T15:13:51.646587611Z [err]  }
2026-08-08T15:13:51.646589821Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (400 max tokens) [tiered]
2026-08-08T15:13:52.168838374Z [inf]  [Persona] Mistral-family prompt extension applied for synthesis | session a8bad116-2532-4282-840d-6a1819b6d69d
2026-08-08T15:13:52.168845394Z [inf]  [Persona] Council context injected for synthesis (synthesis) | session a8bad116-2532-4282-840d-6a1819b6d69d
2026-08-08T15:13:52.168849404Z [inf]  [AIClient] createStream → mistral-cloud (mistral-small-latest) (3200 max tokens) [tiered]
